编号	光轴角度	电轴角度	等效角度	原始光轴	原始电轴
0	241829	340452	335748	241812	2014121930
0	241655	340450	335708	241648	2014121930
0	241147	340523	335704	241203	2014121930
0	240658	340437	335635	240536	2014121930
0	241923	340600	335819	241842	2014121930
0	241923	340600	335819	241842	2014121930
0	241234	340520	335831	241321	2014121930
0	241317	340238	335437	241723	2014121930
0	242002	340413	335735	241956	2014121930
0	240348	340444	335810	240409	2014121930
0	241319	340600	335749	241201	2014121930
0	241859	340539	335802	242115	2014121930
0	240313	340501	335821	240145	2014121930
0	241658	340519	335746	241604	2014121930
0	241658	340519	335746	241604	2014121930
0	241218	340540	335700	241206	2014121930
0	241929	340413	335540	241930	2014121930
0	241534	340401	335720	241529	2014121930
0	240803	340520	335916	240718	2014121930
0	241622	340527	335815	241552	2014121930
avg	33°56'50"	24°13'32"	34°04'55"	33°57'27"	24°13'42"	
std	00°00'57"	00°04'56"	00°00'59"	00°01'38"	00°05'29"	0	241559	340508	335618	241933	2014121930
